-﻿id_midia;id_cliente;nota;comentario
3459;Tri206754;3;Adorei a série, os personagens são muito carismáticos e a trama é envolvente.
3460;Tri206755;2;Não gostei da série, achei muito violenta e sem sentido.
3462;Tri206756;4;A série é boa, mas poderia ter menos episódios. Algumas partes ficaram muito arrastadas.
3465;Ell43291;1;A série é ótima, tem humor, drama e suspense na medida certa. Recomendo muito.
3465;Tri206757;5;A série é péssima, os atores são ruins e o roteiro é cheio de furos. Não percam tempo assistindo.
3474;Ell43292;2;A série é divertida, mas não é nada original. Parece uma cópia de outras séries do mesmo gênero.
3474;Tri206758;3;A série é incrível, me surpreendeu a cada episódio. Tem muitas reviravoltas e emoções fortes.
3481;Tri206759;1;A série é regular, tem alguns momentos bons e outros ruins. Não é ruim, mas também não é ótima.
3489;Ell43290;4;A série é maravilhosa, me fez rir e chorar. Os personagens são muito bem desenvolvidos e a história é cativante.
3493;Ell43295;5;A série é horrível, não tem nada a ver com o livro que eu amo. Eles mudaram tudo e estragaram a história.
3496;Mak118368;2;A série é interessante, mas um pouco confusa. Tem muitos personagens e subtramas que às vezes se perdem.
3496;Ell43296;3;A série é excelente, tem uma produção de alto nível e uma fotografia linda. Os cenários e figurinos são incríveis.
3496;Mak118369;4;A série é medíocre, não tem nada que se destaque. É mais do mesmo que já vimos em outras séries.
3502;Ell43293;1;A série é fantástica, tem uma mistura de ficção científica e fantasia que eu adoro. O universo criado é muito rico e complexo.
3502;Ell43294;2;A série é terrível, não tem graça nenhuma. As piadas são forçadas e sem noção. Os personagens são irritantes e estereotipados.
3509;Ell43299;5;A série é legal, mas um pouco infantil. É uma boa opção para assistir com a família ou com crianças.
3514;Mak118364;1;A série é impressionante, tem uma abordagem muito realista e crítica de temas atuais. Os atores são ótimos e as cenas são impactantes.
3514;Mak118365;3;A série é fraca, não tem profundidade nem consistência. Os personagens são rasos e a história é previsível.
3518;Tri206750;4;A série é sensacional, tem um ritmo frenético e muita ação. Os episódios são eletrizantes e deixam você querendo mais.
3524;Ell43297;5;A série é lamentável, não tem nenhum respeito pela cultura e história dos povos retratados. É uma visão distorcida e preconceituosa.
3524;Mak118366;1;A série é bacana, mas um pouco clichê. É uma comédia romântica típica, com alguns momentos fofos e engraçados.
3527;Tri206751;2;A série é espetacular, tem um elenco de peso e uma direção primorosa. Os diálogos são inteligentes e as atuações são impecáveis.
3531;Ell43298;3;A série é decepcionante, não cumpre o que promete. O trailer era muito melhor que a série inteira. Foi uma grande frustração.
3533;Mak118367;4;A série é genial, tem um humor ácido e sarcástico que eu amo. Os personagens são anti-heróis que você ama odiar.
3536;Tri206752;5;A série é desastrosa, não tem nenhum critério nem lógica. É uma bagunça sem pé nem cabeça. Não sei como alguém pode gostar disso.
3540;Mak118371;1;A série é bonita, mas um pouco chata. É uma drama histórico que retrata uma época importante, mas sem muita emoção ou dinamismo.
3547;Mak118372;2;A série é magnífica, tem uma trilha sonora maravilhosa e uma coreografia incrível. Os números musicais são de tirar o fôlego.
3554;Mak118373;3;A série é vergonhosa, não tem nenhum conteúdo nem propósito. É só um show de nudez e violência gratuita. É uma ofensa à inteligência do espectador.
3556;Mak118374;4;A série é inspiradora, tem uma mensagem positiva e motivadora. Os personagens são exemplos de superação e coragem.
